ID,İş Kalemi,Kategori,Miktar,Birim,Güven (%),Kaynak
BRUTTO_AREA_001,Brüt İnşaat Alanı,area,95443.83,m²,60,wall_line_detection
NET_AREA_001,Net Kullanım Alanı,area,656.23,m²,75,wall_line_detection
WALL_EXT_001,Dış Duvar Alanı,area,58569.11,m²,60,wall_line_detection
WALL_INT_001,İç Duvar Alanı,area,29344.06,m²,50,wall_line_detection
DOOR_COUNT_001,Kapı Sayısı,count,26.0,adet,30,user_correction
FLOORING_001,Zemin Kaplama Alanı,area,721.86,m²,68,user_correction
PAINT_001,Boya Alanı,area,101043.64,m²,38,user_correction
