ID,İş Kalemi,Kategori,Miktar,Birim,Güven (%),Kaynak
BRUTTO_AREA_001,Brüt İnşaat Alanı,area,0.0,m²,60,wall_line_detection
NET_AREA_001,Net Kullanım Alanı,area,0.0,m²,40,user_correction
WALL_EXT_001,Dış Duvar Alanı,area,248.31,m²,60,wall_line_detection
WALL_INT_001,İç Duvar Alanı,area,3446.88,m²,50,wall_line_detection
DOOR_COUNT_001,Kapı Sayısı,count,0.0,adet,10,user_correction
FLOORING_001,Zemin Kaplama Alanı,area,0.0,m²,36,user_correction
PAINT_001,Boya Alanı,area,4249.47,m²,29,user_correction
