ID,İş Kalemi,Kategori,Miktar,Birim,Güven (%),Kaynak
BRUTTO_AREA_001,Brüt İnşaat Alanı,area,95443.83,m²,60,wall_line_detection
NET_AREA_001,Net Kullanım Alanı,area,81127.25,m²,42,user_correction
WALL_EXT_001,Dış Duvar Alanı,area,58569.11,m²,60,wall_line_detection
WALL_INT_001,İç Duvar Alanı,area,29344.06,m²,50,wall_line_detection
DOOR_COUNT_001,Kapı Sayısı,count,3245.0,adet,30,user_correction
FLOORING_001,Zemin Kaplama Alanı,area,89239.98,m²,38,user_correction
PAINT_001,Boya Alanı,area,94047.14,m²,38,user_correction
